timestamp,elapsed_trial,mode,target_color,target_found,cx,cy,bbox_w,bbox_h,area,error_x_px,alpha_rad,rho_m,v_cmd,w_cmd,focal_px
1778190923.5968823,29.269693613052368,IDLE,green,1,208,491,86,81,6604.5,-432.0,-0.32082719362489553,0.9069767441860465,0.0,0.0,1300.0
1778190923.7337418,29.406553030014038,IDLE,green,1,208,488,88,82,6707.0,-432.0,-0.32082719362489553,0.8863636363636364,0.0,0.0,1300.0
1778190923.8725617,29.54537296295166,IDLE,green,1,216,488,86,82,6547.0,-424.0,-0.31527515924277766,0.9069767441860465,0.0,0.0,1300.0
1778190924.0394073,29.712218523025513,IDLE,green,1,227,488,86,81,6528.5,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.1945271,29.86733841896057,IDLE,green,1,227,488,86,82,6533.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.3377533,30.01056456565857,IDLE,green,1,227,488,86,81,6517.5,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.504744,30.177555322647095,IDLE,green,1,227,488,86,81,6533.5,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.6451588,30.317970037460327,IDLE,green,1,227,488,86,81,6539.5,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.782034,30.454845190048218,IDLE,green,1,227,487,86,81,6514.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190924.9516797,30.624490976333618,IDLE,green,1,227,487,86,81,6525.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190925.1000657,30.772876977920532,IDLE,green,1,227,487,86,81,6502.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190925.2292566,30.90206789970398,IDLE,green,1,227,488,86,81,6523.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190925.3589797,31.03179097175598,IDLE,green,1,227,487,86,81,6506.0,-413.0,-0.30760820958820234,0.9069767441860465,0.0,0.0,1300.0
1778190925.5032604,31.176071643829346,IDLE,green,1,227,487,88,81,6526.0,-413.0,-0.30760820958820234,0.8863636363636364,0.0,0.0,1300.0
1778190925.634556,31.3073673248291,IDLE,green,1,227,488,88,81,6553.5,-413.0,-0.30760820958820234,0.8863636363636364,0.0,0.0,1300.0
1778190925.7677977,31.440608978271484,IDLE,green,1,227,487,88,81,6510.5,-413.0,-0.30760820958820234,0.8863636363636364,0.0,0.0,1300.0
1778190925.904567,31.577378273010254,IDLE,green,1,227,487,90,81,6566.0,-413.0,-0.30760820958820234,0.8666666666666667,0.0,0.0,1300.0
1778190926.0640428,31.736854076385498,IDLE,green,1,227,487,89,81,6590.0,-413.0,-0.30760820958820234,0.8764044943820225,0.0,0.0,1300.0
1778190926.209854,31.882665157318115,IDLE,green,1,227,487,90,81,6541.0,-413.0,-0.30760820958820234,0.8666666666666667,0.0,0.0,1300.0
1778190926.3502493,32.02306056022644,IDLE,green,1,228,487,90,81,6736.0,-412.0,-0.3069093435853757,0.8666666666666667,0.0,0.0,1300.0
1778190926.497755,32.17056632041931,IDLE,green,1,228,487,89,81,6631.0,-412.0,-0.3069093435853757,0.8764044943820225,0.0,0.0,1300.0
1778190926.6460128,32.31882405281067,IDLE,green,1,229,487,89,80,6650.0,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190926.8283432,32.50115442276001,IDLE,green,1,229,487,88,81,6659.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190926.949018,32.62182927131653,IDLE,green,1,229,487,88,81,6700.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.0861003,32.75891160964966,IDLE,green,1,229,487,88,81,6672.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.2305439,32.90335512161255,IDLE,green,1,229,487,89,81,6707.0,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190927.3587456,33.031556844711304,IDLE,green,1,229,487,88,81,6688.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.5027885,33.175599813461304,IDLE,green,1,229,487,88,80,6664.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.6452115,33.31802272796631,IDLE,green,1,229,487,88,80,6676.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.788853,33.4616641998291,IDLE,green,1,229,487,88,81,6652.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190927.9279704,33.60078167915344,IDLE,green,1,229,487,89,80,6659.5,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190928.0716996,33.744510889053345,IDLE,green,1,229,487,88,81,6678.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.2319727,33.904783964157104,IDLE,green,1,229,487,88,81,6685.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.436217,34.109028339385986,IDLE,green,1,229,487,88,81,6691.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.5725148,34.24532604217529,IDLE,green,1,229,487,88,80,6668.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.7130954,34.38590669631958,IDLE,green,1,229,487,88,81,6673.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.8569388,34.52975010871887,IDLE,green,1,229,487,88,81,6670.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190928.9915652,34.66437649726868,IDLE,green,1,229,487,88,80,6663.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.1446993,34.8175106048584,IDLE,green,1,229,487,88,80,6642.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.289592,34.962403297424316,IDLE,green,1,229,487,88,81,6665.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.4392157,35.11202692985535,IDLE,green,1,229,487,88,81,6670.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.5660505,35.23886179924011,IDLE,green,1,229,487,88,81,6674.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.6905565,35.363367795944214,IDLE,green,1,229,487,88,81,6710.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.8113222,35.48413348197937,IDLE,green,1,229,487,88,81,6687.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190929.9631643,35.63597559928894,IDLE,green,1,229,487,88,80,6647.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.1187124,35.791523694992065,IDLE,green,1,229,487,88,82,6666.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.2730832,35.94589447975159,IDLE,green,1,229,487,88,82,6682.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.4172063,36.090017557144165,IDLE,green,1,229,487,88,81,6645.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.5502336,36.223044872283936,IDLE,green,1,229,487,88,81,6651.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.6730309,36.345842123031616,IDLE,green,1,229,487,88,80,6634.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.810956,36.48376727104187,IDLE,green,1,229,487,88,82,6671.5,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190930.943999,36.61681032180786,IDLE,green,1,229,487,88,81,6671.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.071481,36.74429225921631,IDLE,green,1,229,487,88,81,6657.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.2169006,36.88971185684204,IDLE,green,1,229,487,88,81,6608.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.3456976,37.01850891113281,IDLE,green,1,229,487,88,82,6651.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.47952,37.15233135223389,IDLE,green,1,229,487,89,81,6663.5,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190931.6123867,37.28519797325134,IDLE,green,1,229,487,88,81,6612.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.7504938,37.42330503463745,IDLE,green,1,229,487,88,82,6615.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190931.8894305,37.56224179267883,IDLE,green,1,229,487,88,81,6606.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190932.0332756,37.70608687400818,IDLE,green,1,229,487,89,82,6603.0,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190932.1737847,37.846596002578735,IDLE,green,1,229,487,89,82,6611.5,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190932.295681,37.96849226951599,IDLE,green,1,229,487,88,81,6629.0,-411.0,-0.3062101678662645,0.8863636363636364,0.0,0.0,1300.0
1778190932.4271967,38.10000801086426,IDLE,green,1,229,487,89,81,6616.5,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190932.5482671,38.221078395843506,IDLE,green,1,229,487,89,81,6571.0,-411.0,-0.3062101678662645,0.8764044943820225,0.0,0.0,1300.0
1778190932.6910744,38.36388564109802,IDLE,green,1,229,487,86,81,6529.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190932.8292708,38.502082109451294,IDLE,green,1,228,487,86,81,6550.0,-412.0,-0.3069093435853757,0.9069767441860465,0.0,0.0,1300.0
1778190932.9612055,38.63401675224304,IDLE,green,1,229,487,86,81,6574.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.1057396,38.77855086326599,IDLE,green,1,229,487,86,81,6540.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.2646577,38.93746900558472,IDLE,green,1,229,487,86,81,6557.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.4140606,39.0868718624115,IDLE,green,1,229,487,86,81,6560.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.5597637,39.23257493972778,IDLE,green,1,229,487,86,82,6565.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.68676,39.3595712184906,IDLE,green,1,229,487,86,82,6542.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.8010685,39.47387981414795,IDLE,green,1,229,487,86,82,6550.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190933.9167085,39.589519739151,IDLE,green,1,229,487,86,81,6522.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.0610356,39.73384690284729,IDLE,green,1,229,487,86,82,6547.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.1807375,39.853548765182495,IDLE,green,1,229,487,86,81,6557.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.3347008,40.00751209259033,IDLE,green,1,229,487,86,81,6539.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.4918063,40.16461753845215,IDLE,green,1,229,487,86,80,6532.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.6633387,40.33614993095398,IDLE,green,1,229,487,86,81,6532.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.8050783,40.47788953781128,IDLE,green,1,229,487,86,81,6539.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190934.9328887,40.60570001602173,IDLE,green,1,229,487,86,81,6554.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.0667987,40.73960995674133,IDLE,green,1,229,487,86,81,6526.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.2065873,40.879398584365845,IDLE,green,1,229,487,86,81,6529.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.3564525,41.029263734817505,IDLE,green,1,229,487,86,81,6541.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.493821,41.16663217544556,IDLE,green,1,229,487,86,81,6528.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.6436243,41.31643557548523,IDLE,green,1,229,487,87,81,6547.5,-411.0,-0.3062101678662645,0.896551724137931,0.0,0.0,1300.0
1778190935.7769876,41.449798822402954,IDLE,green,1,229,487,86,81,6548.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190935.9216132,41.59442448616028,IDLE,green,1,229,487,86,81,6520.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190936.0418637,41.714674949645996,IDLE,green,1,229,487,86,81,6528.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190936.1873975,41.86020874977112,IDLE,green,1,229,487,86,81,6515.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190936.3308473,42.00365853309631,IDLE,green,1,229,487,86,81,6535.0,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190936.470626,42.14343738555908,IDLE,green,1,229,487,86,81,6544.5,-411.0,-0.3062101678662645,0.9069767441860465,0.0,0.0,1300.0
1778190936.63353,42.30634117126465,IDLE,green,1,231,487,86,82,6535.5,-409.0,-0.30481088919323196,0.9069767441860465,0.0,0.0,1300.0
1778190936.7794874,42.452298641204834,IDLE,green,1,231,487,86,82,6526.5,-409.0,-0.30481088919323196,0.9069767441860465,0.0,0.0,1300.0
1778190936.9440506,42.61686182022095,IDLE,green,1,233,487,86,81,6503.0,-407.0,-0.30341037741352456,0.9069767441860465,0.0,0.0,1300.0
1778190937.1128316,42.785642862319946,IDLE,green,1,243,487,88,81,6560.5,-397.0,-0.29638945829801533,0.8863636363636364,0.0,0.0,1300.0
1778190937.2778761,42.950687408447266,IDLE,green,1,246,488,86,81,6409.0,-394.0,-0.2942772636594112,0.9069767441860465,0.0,0.0,1300.0
1778190937.4317973,43.1046085357666,IDLE,green,1,296,475,80,79,5435.5,-344.0,-0.25868631821559074,0.975,0.0,0.0,1300.0
1778190937.5765564,43.24936771392822,IDLE,green,1,447,452,76,75,5292.0,-193.0,-0.14738500123070897,1.0263157894736843,0.0,0.0,1300.0
1778190937.7102878,43.38309907913208,IDLE,green,1,502,486,78,76,5483.5,-138.0,-0.10575778411420851,1.0,0.0,0.0,1300.0
1778190937.8244767,43.49728798866272,IDLE,green,1,517,500,78,76,5572.5,-123.0,-0.09433455692571874,1.0,0.0,0.0,1300.0
1778190937.9362316,43.60904288291931,IDLE,green,1,554,509,84,77,5514.5,-86.0,-0.06605759504657509,0.9285714285714286,0.0,0.0,1300.0
1778190938.0563018,43.72911310195923,IDLE,green,1,624,484,78,78,5747.5,-16.0,-0.012307070910671404,1.0,0.0,0.0,1300.0
1778190938.1846645,43.85747575759888,IDLE,green,1,635,477,78,78,5691.0,-5.0,-0.0038461348810665233,1.0,0.0,0.0,1300.0
1778190938.3122723,43.98508358001709,IDLE,green,1,640,479,78,76,5643.0,0.0,0.0,1.0,0.0,0.0,1300.0
1778190938.427776,44.100587368011475,IDLE,green,1,641,493,79,80,5760.5,1.0,0.0007692306175087779,0.9873417721518988,0.0,0.0,1300.0
1778190938.5373156,44.210126876831055,IDLE,green,1,640,492,81,77,5880.0,0.0,0.0,0.9629629629629629,0.0,0.0,1300.0
1778190938.648042,44.3208532333374,IDLE,green,1,641,491,80,77,5881.5,1.0,0.0007692306175087779,0.975,0.0,0.0,1300.0
1778190938.7566042,44.429415464401245,IDLE,green,1,631,491,78,80,5756.0,-9.0,-0.006922966320886576,1.0,0.0,0.0,1300.0
1778190938.8636222,44.53643345832825,IDLE,green,1,621,492,80,80,5972.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190938.9840472,44.65685844421387,IDLE,green,1,621,492,80,80,6003.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.0942314,44.76704263687134,IDLE,green,1,621,492,80,80,6014.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.2087321,44.88154339790344,IDLE,green,1,621,492,80,80,6018.5,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.3258915,44.99870276451111,IDLE,green,1,621,492,80,80,6059.5,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.45183,45.12464118003845,IDLE,green,1,621,492,80,80,6009.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.5609186,45.23372983932495,IDLE,green,1,621,491,80,80,6048.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.673457,45.34626817703247,IDLE,green,1,621,492,80,81,6050.5,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.7816072,45.454418420791626,IDLE,green,1,621,492,80,80,5946.5,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
1778190939.897994,45.570805311203,IDLE,green,1,621,492,80,80,5969.0,-19.0,-0.014614344087233241,0.975,0.0,0.0,1300.0
